battery_percentage,distance,total_chargers,occupied_chargers,queue_length,charging_speed,wait_time
68,0.0637,6,4,0,60,0
68,0.0534,4,2,0,60,0
68,0.0295,5,4,0,60,0
68,0.067,3,2,0,60,0
68,0.1795,8,8,0,60,15
18,0.0959,6,4,0,60,0
18,0.1117,4,3,0,60,0
18,0.0858,5,4,0,60,0
18,0.0846,3,2,0,60,0
18,0.1381,8,8,0,60,15
8,0.0795,6,5,0,60,0
8,0.1056,4,3,0,60,0
8,0.0796,5,4,0,60,0
8,0.0655,3,2,0,60,0
8,0.1242,8,8,0,60,15
11,0.0503,6,5,0,60,0
11,0.1081,4,3,0,60,0
11,0.0946,5,4,0,60,0
11,0.0367,3,3,0,60,15
11,0.1209,8,8,0,60,15
58,0.0691,6,6,0,60,15
58,0.1133,4,3,0,60,0
58,0.1126,5,4,0,60,0
58,0.073,3,3,0,60,15
58,0.169,8,8,0,60,15
15,0.083,6,6,0,60,15
15,0.064,4,3,0,60,0
15,0.0446,5,5,0,60,15
15,0.0861,3,3,0,60,15
15,0.1911,8,8,0,60,15
78,0.1911,6,6,0,60,15
78,0.2488,4,4,0,60,15
78,0.2336,5,5,0,60,15
78,0.175,3,3,0,60,15
78,0.0976,8,8,0,60,15
21,0.154,6,6,0,60,15
21,0.2114,4,4,0,60,15
21,0.1946,5,5,0,60,15
21,0.1365,3,3,0,60,15
21,0.066,8,8,1,60,15
54,0.0749,6,6,0,60,15
54,0.0189,4,4,0,60,15
54,0.0346,5,5,0,60,15
54,0.0909,3,3,0,60,15
54,0.2241,8,8,2,60,15
75,0.1229,6,6,0,60,15
75,0.1762,4,4,1,60,15
75,0.1695,5,5,0,60,15
75,0.1159,3,3,0,60,15
75,0.1425,8,8,2,60,15
34,0.1048,6,6,0,60,15
34,0.1471,4,4,1,60,15
34,0.1225,5,5,0,60,15
34,0.0847,3,3,1,60,15
34,0.0738,8,8,2,60,15
37,0.0703,6,6,0,60,15
37,0.1253,4,4,1,60,15
37,0.1062,5,5,0,60,15
37,0.0503,3,3,1,60,15
37,0.091,8,8,3,60,15
19,0.0813,6,6,0,60,15
19,0.1035,4,4,1,60,15
19,0.0774,5,5,0,60,15
19,0.0688,3,3,2,60,15
19,0.1304,8,8,3,60,15
19,0.0821,6,6,0,60,15
19,0.0249,4,4,1,60,15
19,0.0425,5,5,0,60,15
19,0.0985,3,3,3,60,45
19,0.232,8,8,3,60,15
36,0.0623,6,6,0,60,15
36,0.0454,4,4,2,60,15
36,0.0642,5,5,0,60,15
36,0.0831,3,3,3,60,45
36,0.2215,8,8,3,60,15
15,0.0926,6,0,0,60,0
15,0.0496,4,0,0,60,0
15,0.046,5,0,0,60,0
15,0.1028,3,0,0,60,0
15,0.2224,8,0,0,60,0
41,0.1013,6,1,0,60,0
41,0.1587,4,0,0,60,0
41,0.1465,5,0,0,60,0
41,0.0884,3,0,0,60,0
41,0.1053,8,0,0,60,0
40,0.0459,6,1,0,60,0
40,0.0127,4,0,0,60,0
40,0.0171,5,0,0,60,0
40,0.0628,3,0,0,60,0
40,0.1992,8,1,0,60,0
37,0.1275,6,1,0,60,0
37,0.1842,4,0,0,60,0
37,0.1661,5,1,0,60,0
37,0.1089,3,0,0,60,0
37,0.0555,8,1,0,60,0
49,0.0522,6,1,0,60,0
49,0.0056,4,0,0,60,0
49,0.0227,5,1,0,60,0
49,0.0698,3,0,0,60,0
49,0.2066,8,2,0,60,0
5,0.1442,6,2,0,60,0
5,0.1871,4,0,0,60,0
5,0.1623,5,1,0,60,0
5,0.1236,3,0,0,60,0
5,0.0499,8,2,0,60,0
9,0.0559,6,2,0,60,0
9,0.0306,4,0,0,60,0
9,0.0103,5,1,0,60,0
9,0.0662,3,0,0,60,0
9,0.1927,8,3,0,60,0
13,0.1086,6,2,0,60,0
13,0.1451,4,0,0,60,0
13,0.149,5,2,0,60,0
13,0.1143,3,0,0,60,0
13,0.1986,8,3,0,60,0
33,0.1069,6,3,0,60,0
33,0.1601,4,0,0,60,0
33,0.1535,5,2,0,60,0
33,0.1005,3,0,0,60,0
33,0.1408,8,3,0,60,0
65,0.1546,6,3,0,60,0
65,0.2122,4,0,0,60,0
65,0.1959,5,2,0,60,0
65,0.1375,3,0,0,60,0
65,0.0714,8,4,0,60,0
56,0.1487,6,3,0,60,0
56,0.1806,4,0,0,60,0
56,0.1546,5,2,0,60,0
56,0.1303,3,0,0,60,0
56,0.0911,8,5,0,60,0
9,0.0593,6,3,0,60,0
9,0.108,4,0,0,60,0
9,0.0862,5,2,0,60,0
9,0.0385,3,0,0,60,0
9,0.1039,8,6,0,60,0
18,0.1458,6,3,0,60,0
18,0.2031,4,0,0,60,0
18,0.1908,5,2,0,60,0
18,0.1325,3,1,0,60,0
18,0.106,8,6,0,60,0
38,0.0875,6,4,0,60,0
38,0.0407,4,0,0,60,0
38,0.041,5,2,0,60,0
38,0.0993,3,1,0,60,0
38,0.2234,8,6,0,60,0
33,0.1424,6,4,0,60,0
33,0.1863,4,1,0,60,0
33,0.1617,5,2,0,60,0
33,0.1217,3,1,0,60,0
33,0.0464,8,6,0,60,0
46,0.0648,6,4,0,60,0
46,0.0214,4,1,0,60,0
46,0.0461,5,2,0,60,0
46,0.0848,3,1,0,60,0
46,0.2241,8,7,0,60,0
11,0.0956,6,4,0,60,0
11,0.1534,4,2,0,60,0
11,0.1396,5,2,0,60,0
11,0.081,3,1,0,60,0
11,0.097,8,7,0,60,0
5,0.0576,6,4,0,60,0
5,0.0865,4,2,0,60,0
5,0.0919,5,2,0,60,0
5,0.0707,3,2,0,60,0
5,0.1913,8,7,0,60,0
7,0.0459,6,4,0,60,0
7,0.0818,4,2,0,60,0
7,0.0578,5,3,0,60,0
7,0.0321,3,2,0,60,0
7,0.132,8,7,0,60,0
27,0.088,6,5,0,60,0
27,0.1435,4,2,0,60,0
27,0.1246,5,3,0,60,0
27,0.0684,3,2,0,60,0
27,0.0756,8,7,0,60,0
16,0.0288,6,5,0,60,0
16,0.0691,4,2,0,60,0
16,0.0679,5,3,0,60,0
16,0.0428,3,3,0,60,15
16,0.1726,8,7,0,60,0
42,0.1117,6,5,0,60,0
42,0.167,4,2,0,60,0
42,0.1474,5,4,0,60,0
42,0.0919,3,3,0,60,15
42,0.0542,8,7,0,60,0
13,0.0562,6,5,0,60,0
13,0.0808,4,2,0,60,0
13,0.0876,5,4,0,60,0
13,0.071,3,3,0,60,15
13,0.1953,8,8,0,60,15
47,0.0813,6,5,0,60,0
47,0.1156,4,3,0,60,0
47,0.1199,5,4,0,60,0
47,0.0897,3,3,0,60,15
47,0.1919,8,8,0,60,15
41,0.0421,6,6,0,60,15
41,0.0658,4,3,0,60,0
41,0.0408,5,4,0,60,0
41,0.0368,3,3,0,60,15
41,0.1498,8,8,0,60,15
51,0.0708,6,6,0,60,15
51,0.1284,4,3,0,60,0
51,0.1158,5,5,0,60,15
51,0.058,3,3,0,60,15
51,0.1132,8,8,0,60,15
49,0.0648,6,6,0,60,15
49,0.1109,4,4,0,60,15
49,0.109,5,5,0,60,15
49,0.0678,3,3,0,60,15
49,0.1643,8,8,0,60,15
37,0.0939,6,6,1,60,15
37,0.1491,4,4,0,60,15
37,0.1297,5,5,0,60,15
37,0.0741,3,3,0,60,15
37,0.0694,8,8,0,60,15
31,0.0854,6,6,1,60,15
31,0.1418,4,4,0,60,15
31,0.1316,5,5,0,60,15
31,0.0753,3,3,0,60,15
31,0.1206,8,8,1,60,15
14,0.09,6,6,1,60,15
14,0.1478,4,4,0,60,15
14,0.1334,5,5,0,60,15
14,0.0747,3,3,1,60,15
14,0.0956,8,8,1,60,15
80,0.1187,6,6,1,60,15
80,0.1759,4,4,0,60,15
80,0.1639,5,5,0,60,15
80,0.1058,3,3,2,60,15
80,0.1049,8,8,1,60,15
18,0.1588,6,6,1,60,15
18,0.2029,4,4,0,60,15
18,0.1782,5,5,0,60,15
18,0.1381,3,3,2,60,15
18,0.0426,8,8,2,60,15
37,0.1256,6,6,1,60,15
37,0.1748,4,4,0,60,15
37,0.1518,5,5,0,60,15
37,0.1046,3,3,2,60,15
37,0.0385,8,8,3,60,15
35,0.0693,6,6,1,60,15
35,0.0973,4,4,0,60,15
35,0.1038,5,5,0,60,15
35,0.0816,3,3,2,60,15
35,0.1969,8,8,4,60,15
48,0.117,6,6,2,60,15
48,0.1363,4,4,0,60,15
48,0.1104,5,5,0,60,15
48,0.1033,3,3,2,60,15
48,0.1279,8,8,4,60,15
12,0.0394,6,6,2,60,15
12,0.0717,4,4,0,60,15
12,0.0478,5,5,0,60,15
12,0.0299,3,3,3,60,45
12,0.1418,8,8,4,60,15
29,0.1028,6,0,0,60,0
29,0.1601,4,0,0,60,0
29,0.1435,5,0,0,60,0
29,0.0852,3,0,0,60,0
29,0.0767,8,0,0,60,0
35,0.1347,6,0,0,60,0
35,0.1901,4,0,0,60,0
35,0.1811,5,0,0,60,0
35,0.125,3,0,0,60,0
35,0.1294,8,1,0,60,0
20,0.047,6,0,0,60,0
20,0.1028,4,0,0,60,0
20,0.0852,5,0,0,60,0
20,0.0274,3,0,0,60,0
20,0.1141,8,2,0,60,0
36,0.1172,6,1,0,60,0
36,0.1698,4,0,0,60,0
36,0.1483,5,0,0,60,0
36,0.0965,3,0,0,60,0
36,0.0433,8,2,0,60,0
6,0.0502,6,1,0,60,0
6,0.1055,4,0,0,60,0
6,0.0875,5,0,0,60,0
6,0.0303,3,0,0,60,0
6,0.1108,8,3,0,60,0
8,0.1021,6,2,0,60,0
8,0.1418,4,0,0,60,0
8,0.144,5,0,0,60,0
8,0.1063,3,0,0,60,0
8,0.1883,8,3,0,60,0
37,0.0367,6,2,0,60,0
37,0.0395,4,0,0,60,0
37,0.0478,5,1,0,60,0
37,0.0576,3,0,0,60,0
37,0.1965,8,3,0,60,0
21,0.0669,6,3,0,60,0
21,0.1049,4,0,0,60,0
21,0.1071,5,1,0,60,0
21,0.0748,3,0,0,60,0
21,0.181,8,3,0,60,0
18,0.1646,6,3,0,60,0
18,0.2201,4,1,0,60,0
18,0.2004,5,1,0,60,0
18,0.145,3,0,0,60,0
18,0.0363,8,3,0,60,0
5,0.0558,6,3,0,60,0
5,0.0899,4,1,0,60,0
5,0.0651,5,1,0,60,0
5,0.041,3,0,0,60,0
5,0.1263,8,4,0,60,0
48,0.1322,6,3,0,60,0
48,0.1884,4,1,0,60,0
48,0.1783,5,2,0,60,0
48,0.1212,3,0,0,60,0
48,0.1203,8,4,0,60,0
31,0.1303,6,3,0,60,0
31,0.1836,4,1,0,60,0
31,0.1624,5,2,0,60,0
31,0.1098,3,0,0,60,0
31,0.0318,8,5,0,60,0
16,0.1306,6,3,0,60,0
16,0.1582,4,1,0,60,0
16,0.1321,5,2,0,60,0
16,0.1138,3,0,0,60,0
16,0.1054,8,6,0,60,0
17,0.0111,6,3,0,60,0
17,0.0606,4,1,0,60,0
17,0.0447,5,2,0,60,0
17,0.0147,3,1,0,60,0
17,0.1533,8,6,0,60,0
14,0.0494,6,4,0,60,0
14,0.0133,4,1,0,60,0
14,0.0308,5,2,0,60,0
14,0.0687,3,1,0,60,0
14,0.2074,8,6,0,60,0
18,0.1059,6,4,0,60,0
18,0.1505,4,2,0,60,0
18,0.1263,5,2,0,60,0
18,0.0854,3,1,0,60,0
18,0.0672,8,6,0,60,0
27,0.0163,6,4,0,60,0
27,0.065,4,2,0,60,0
27,0.0474,5,2,0,60,0
27,0.0114,3,1,0,60,0
27,0.1482,8,7,0,60,0
27,0.1383,6,4,0,60,0
27,0.1857,4,2,0,60,0
27,0.1619,5,3,0,60,0
27,0.1174,3,1,0,60,0
27,0.034,8,7,0,60,0
47,0.0944,6,4,0,60,0
47,0.0941,4,2,0,60,0
47,0.0702,5,3,0,60,0
47,0.0893,3,1,0,60,0
47,0.1665,8,8,0,60,15
16,0.0573,6,4,0,60,0
16,0.1131,4,2,0,60,0
16,0.1038,5,4,0,60,0
16,0.0501,3,1,0,60,0
16,0.1334,8,8,0,60,15
49,0.0256,6,4,0,60,0
49,0.0678,4,2,0,60,0
49,0.0472,5,4,0,60,0
49,0.0165,3,2,0,60,0
49,0.1441,8,8,0,60,15
10,0.0607,6,5,0,60,0
10,0.1121,4,2,0,60,0
10,0.0913,5,4,0,60,0
10,0.0397,3,2,0,60,0
10,0.1003,8,8,0,60,15
28,0.0984,6,5,0,60,0
28,0.1107,4,2,0,60,0
28,0.0851,5,4,0,60,0
28,0.0883,3,3,0,60,15
28,0.1445,8,8,0,60,15
29,0.1292,6,5,0,60,0
29,0.174,4,3,0,60,0
29,0.1496,5,4,0,60,0
29,0.1085,3,3,0,60,15
29,0.0497,8,8,0,60,15
44,0.0839,6,6,0,60,15
44,0.1278,4,3,0,60,0
44,0.1275,5,4,0,60,0
44,0.0867,3,3,0,60,15
44,0.1722,8,8,0,60,15
36,0.0821,6,6,0,60,15
36,0.1271,4,3,0,60,0
36,0.1261,5,5,0,60,15
36,0.0842,3,3,0,60,15
36,0.1689,8,8,0,60,15
11,0.0725,6,6,0,60,15
11,0.1062,4,4,0,60,15
11,0.0808,5,5,0,60,15
11,0.0561,3,3,0,60,15
11,0.1148,8,8,0,60,15
18,0.1312,6,6,0,60,15
18,0.1806,4,4,0,60,15
18,0.1576,5,5,0,60,15
18,0.1102,3,3,1,60,15
18,0.0328,8,8,0,60,15
49,0.0597,6,6,0,60,15
49,0.1175,4,4,0,60,15
49,0.104,5,5,0,60,15
49,0.0458,3,3,1,60,15
49,0.1153,8,8,1,60,15
9,0.1457,6,6,0,60,15
9,0.177,4,4,0,60,15
9,0.1509,5,5,0,60,15
9,0.1275,3,3,2,60,15
9,0.0931,8,8,1,60,15
28,0.0235,6,6,0,60,15
28,0.0808,4,4,0,60,15
28,0.0697,5,5,0,60,15
28,0.0193,3,3,2,60,15
28,0.1445,8,8,2,60,15
8,0.1441,6,6,0,60,15
8,0.2013,4,4,0,60,15
8,0.1892,5,5,0,60,15
8,0.1309,3,3,3,60,45
8,0.1068,8,8,2,60,15
55,0.1269,6,6,0,60,15
55,0.1529,4,4,0,60,15
55,0.1267,5,5,0,60,15
55,0.1106,3,3,3,60,45
55,0.1102,8,8,3,60,15
29,0.1051,6,6,0,60,15
29,0.1595,4,4,0,60,15
29,0.1393,5,5,0,60,15
29,0.0849,3,3,3,60,45
29,0.0574,8,8,4,60,15
25,0.0824,6,6,0,60,15
25,0.0808,4,4,0,60,15
25,0.0566,5,5,0,60,15
25,0.0792,3,3,3,60,45
25,0.1684,8,8,5,60,15
29,0.0399,6,6,0,60,15
29,0.0335,4,4,0,60,15
29,0.044,5,5,1,60,15
29,0.0608,3,3,3,60,45
29,0.2002,8,8,5,60,15
48,0.0842,6,6,0,60,15
48,0.1406,4,4,1,60,15
48,0.1304,5,5,1,60,15
48,0.0741,3,3,3,60,45
48,0.1209,8,8,5,60,15
17,0.0885,6,6,1,60,15
17,0.0367,4,4,1,60,15
17,0.0434,5,5,1,60,15
17,0.1021,3,3,3,60,45
17,0.2296,8,8,5,60,15
67,0.1057,6,6,1,60,15
67,0.1543,4,4,2,60,15
67,0.1513,5,5,1,60,15
67,0.1037,3,3,3,60,45
67,0.1622,8,8,5,60,15
62,0.0557,6,6,2,60,15
62,0.0978,4,4,2,60,15
62,0.0743,5,5,1,60,15
62,0.0372,3,3,3,60,45
62,0.1153,8,8,5,60,15
49,0.1118,6,6,3,60,15
49,0.1461,4,4,2,60,15
49,0.1203,5,5,1,60,15
49,0.0935,3,3,3,60,45
49,0.0912,8,8,5,60,15
24,0.0906,6,6,3,60,15
24,0.1337,4,4,2,60,15
24,0.134,5,5,1,60,15
24,0.0935,3,3,3,60,45
24,0.1761,8,8,6,60,15
10,0.0845,6,6,4,60,15
10,0.1336,4,4,2,60,15
10,0.1112,5,5,1,60,15
10,0.0636,3,3,3,60,45
10,0.0784,8,8,6,60,15
14,0.0575,6,6,4,60,15
14,0.0279,4,4,2,60,15
14,0.0485,5,5,1,60,15
14,0.0782,3,3,3,60,45
14,0.2178,8,8,7,60,15
15,0.0972,6,0,0,60,0
15,0.1478,4,0,0,60,0
15,0.1433,5,0,0,60,0
15,0.0938,3,0,0,60,0
15,0.1522,8,0,0,60,0
5,0.0965,6,0,0,60,0
5,0.139,4,0,0,60,0
5,0.1397,5,0,0,60,0
5,0.0993,3,0,0,60,0
5,0.1791,8,1,0,60,0
29,0.0476,6,1,0,60,0
29,0.0928,4,0,0,60,0
29,0.0705,5,0,0,60,0
29,0.0285,3,0,0,60,0
29,0.1192,8,1,0,60,0
61,0.033,6,1,0,60,0
61,0.0713,4,0,0,60,0
61,0.049,5,0,0,60,0
61,0.0223,3,0,0,60,0
61,0.1408,8,2,0,60,0
9,0.1457,6,2,0,60,0
9,0.2034,4,0,0,60,0
9,0.1884,5,0,0,60,0
9,0.1297,3,0,0,60,0
9,0.0822,8,2,0,60,0
44,0.0453,6,2,0,60,0
44,0.102,4,0,0,60,0
44,0.0855,5,0,0,60,0
44,0.027,3,0,0,60,0
44,0.117,8,3,0,60,0
42,0.0531,6,2,0,60,0
42,0.0386,4,0,0,60,0
42,0.0552,5,1,0,60,0
42,0.074,3,0,0,60,0
42,0.213,8,3,0,60,0
8,0.0529,6,2,0,60,0
8,0.0828,4,1,0,60,0
8,0.0875,5,1,0,60,0
8,0.0663,3,0,0,60,0
8,0.1886,8,3,0,60,0
79,0.0754,6,3,0,60,0
79,0.1006,4,1,0,60,0
79,0.1083,5,1,0,60,0
79,0.0881,3,0,0,60,0
79,0.2031,8,3,0,60,0
20,0.0704,6,3,0,60,0
20,0.1039,4,1,0,60,0
20,0.0786,5,2,0,60,0
20,0.0542,3,0,0,60,0
20,0.1165,8,3,0,60,0
26,0.123,6,3,0,60,0
26,0.152,4,1,0,60,0
26,0.1259,5,2,0,60,0
26,0.1059,3,0,0,60,0
26,0.1023,8,4,0,60,0
52,0.1204,6,3,0,60,0
52,0.1776,4,1,0,60,0
52,0.1604,5,2,0,60,0
52,0.1025,3,0,0,60,0
52,0.0648,8,5,0,60,0
18,0.0593,6,3,0,60,0
18,0.0851,4,1,0,60,0
18,0.0594,5,2,0,60,0
18,0.0479,3,0,0,60,0
18,0.1358,8,6,0,60,0
17,0.1073,6,3,0,60,0
17,0.1219,4,1,0,60,0
17,0.0963,5,2,0,60,0
17,0.0957,3,1,0,60,0
17,0.139,8,6,0,60,0
16,0.1084,6,3,0,60,0
16,0.166,4,1,0,60,0
16,0.1531,5,3,0,60,0
16,0.0948,3,1,0,60,0
16,0.1001,8,6,0,60,0
31,0.0507,6,4,0,60,0
31,0.107,4,1,0,60,0
31,0.0971,5,3,0,60,0
31,0.0429,3,1,0,60,0
31,0.1334,8,6,0,60,0
31,0.0735,6,4,0,60,0
31,0.1192,4,1,0,60,0
31,0.1177,5,3,0,60,0
31,0.0759,3,2,0,60,0
31,0.1661,8,6,0,60,0
12,0.0782,6,4,0,60,0
12,0.133,4,2,0,60,0
12,0.1137,5,3,0,60,0
12,0.0581,3,2,0,60,0
12,0.0832,8,6,0,60,0
35,0.1921,6,5,0,60,0
35,0.2499,4,2,0,60,0
35,0.2343,5,3,0,60,0
35,0.1757,3,2,0,60,0
35,0.0945,8,6,0,60,0
7,0.0892,6,5,0,60,0
7,0.1422,4,2,0,60,0
7,0.1214,5,3,0,60,0
7,0.0685,3,2,0,60,0
7,0.0712,8,7,0,60,0
11,0.1797,6,5,0,60,0
11,0.237,4,2,0,60,0
11,0.2195,5,3,0,60,0
11,0.1618,3,3,0,60,15
11,0.0689,8,7,0,60,0
46,0.0515,6,5,0,60,0
46,0.0425,4,2,0,60,0
46,0.0576,5,3,0,60,0
46,0.0724,3,3,0,60,15
46,0.2107,8,8,0,60,15
58,0.0773,6,5,0,60,0
58,0.0916,4,3,0,60,0
58,0.0656,5,3,0,60,0
58,0.0683,3,3,0,60,15
58,0.1451,8,8,0,60,15
20,0.0412,6,5,0,60,0
20,0.0708,4,3,0,60,0
20,0.0464,5,4,0,60,0
20,0.0327,3,3,0,60,15
20,0.1435,8,8,0,60,15
72,0.0702,6,6,0,60,15
72,0.0697,4,3,0,60,0
72,0.0448,5,4,0,60,0
72,0.0684,3,3,0,60,15
72,0.1677,8,8,0,60,15
33,0.1051,6,6,0,60,15
33,0.1504,4,3,0,60,0
33,0.1264,5,5,0,60,15
33,0.0845,3,3,0,60,15
33,0.0661,8,8,0,60,15
54,0.0546,6,6,0,60,15
54,0.0723,4,4,0,60,15
54,0.0812,5,5,0,60,15
54,0.0717,3,3,0,60,15
54,0.2006,8,8,0,60,15
26,0.0879,6,6,1,60,15
26,0.1425,4,4,0,60,15
26,0.1345,5,5,0,60,15
26,0.0806,3,3,0,60,15
26,0.1329,8,8,0,60,15
9,0.1839,6,6,1,60,15
9,0.2415,4,4,0,60,15
9,0.2253,5,5,0,60,15
9,0.167,3,3,1,60,15
9,0.0841,8,8,0,60,15
12,0.1093,6,6,1,60,15
12,0.162,4,4,0,60,15
12,0.1407,5,5,0,60,15
12,0.0886,3,3,1,60,15
12,0.0512,8,8,1,60,15
65,0.0288,6,6,1,60,15
65,0.0694,4,4,0,60,15
65,0.048,5,5,0,60,15
65,0.0187,3,3,1,60,15
65,0.1425,8,8,2,60,15
9,0.0702,6,6,1,60,15
9,0.0954,4,4,0,60,15
9,0.103,5,5,0,60,15
9,0.0834,3,3,2,60,15
9,0.2007,8,8,2,60,15
33,0.1058,6,6,2,60,15
33,0.1635,4,4,0,60,15
33,0.1483,5,5,0,60,15
33,0.0896,3,3,2,60,15
33,0.0842,8,8,2,60,15
7,0.0502,6,6,2,60,15
7,0.0284,4,4,0,60,15
7,0.0454,5,5,0,60,15
7,0.071,3,3,2,60,15
7,0.2106,8,8,3,60,15
53,0.0208,6,6,2,60,15
53,0.0695,4,4,1,60,15
53,0.051,5,5,0,60,15
53,0.0092,3,3,2,60,15
53,0.1433,8,8,3,60,15
16,0.0452,6,6,2,60,15
16,0.0446,4,4,1,60,15
16,0.0565,5,5,0,60,15
16,0.0659,3,3,3,60,45
16,0.2038,8,8,3,60,15
39,0.0639,6,6,2,60,15
39,0.0247,4,4,2,60,15
39,0.0176,5,5,0,60,15
39,0.0763,3,3,3,60,45
39,0.2046,8,8,3,60,15
44,0.1023,6,6,2,60,15
44,0.16,4,4,2,60,15
44,0.1465,5,5,1,60,15
44,0.088,3,3,3,60,45
44,0.0971,8,8,3,60,15
50,0.0923,6,6,2,60,15
50,0.1463,4,4,2,60,15
50,0.1261,5,5,1,60,15
50,0.0719,3,3,3,60,45
50,0.0689,8,8,4,60,15
34,0.1044,6,6,2,60,15
34,0.1549,4,4,2,60,15
34,0.1326,5,5,1,60,15
34,0.0834,3,3,3,60,45
34,0.057,8,8,5,60,15
35,0.0899,6,6,2,60,15
35,0.1049,4,4,2,60,15
35,0.079,5,5,1,60,15
35,0.0793,3,3,3,60,45
35,0.1407,8,8,6,60,15
47,0.0924,6,6,2,60,15
47,0.1242,4,4,2,60,15
47,0.0984,5,5,2,60,15
47,0.0755,3,3,3,60,45
47,0.1064,8,8,6,60,15
28,0.0739,6,0,0,60,0
28,0.0296,4,0,0,60,0
28,0.0276,5,0,0,60,0
28,0.0862,3,0,0,60,0
28,0.213,8,0,0,60,0
6,0.1218,6,1,0,60,0
6,0.1774,4,0,0,60,0
6,0.1682,5,0,0,60,0
6,0.112,3,0,0,60,0
6,0.1251,8,0,0,60,0
15,0.064,6,1,0,60,0
15,0.1201,4,0,0,60,0
15,0.1022,5,0,0,60,0
15,0.0447,3,0,0,60,0
15,0.0987,8,1,0,60,0
37,0.0456,6,1,0,60,0
37,0.0483,4,0,0,60,0
37,0.0596,5,0,0,60,0
37,0.066,3,0,0,60,0
37,0.2032,8,2,0,60,0
33,0.0873,6,2,0,60,0
33,0.0945,4,0,0,60,0
33,0.0692,5,0,0,60,0
33,0.0801,3,0,0,60,0
33,0.1548,8,2,0,60,0
57,0.0326,6,2,0,60,0
57,0.0705,4,0,0,60,0
57,0.0481,5,1,0,60,0
57,0.0224,3,0,0,60,0
57,0.1417,8,2,0,60,0
36,0.094,6,3,0,60,0
36,0.1447,4,0,0,60,0
36,0.1402,5,1,0,60,0
36,0.0907,3,0,0,60,0
36,0.1516,8,2,0,60,0
40,0.1005,6,3,0,60,0
40,0.1583,4,0,0,60,0
40,0.1439,5,1,0,60,0
